Referee,away_bp,home_bp,avg_af,avg_hf
G Scott,261,181,12,10
P Tierney,221,221,11,11
S Attwell,221,210,10,9
H Webb,551,361,12,10
L Probert,452,331,10,9
C Foy,556,591,11,11
P Dowd,1216,862,13,11
R East,963,831,12,11
R Madley,1253,1133,12,11
K Friend,1534,1561,12,11
N Swarbrick,1422,1483,11,10
C Pawson,1566,1224,12,11
M Jones,1375,1193,12,11
L Mason,1457,1204,11,10
A Marriner,1748,1603,10,10
M Clattenburg,1965,1586,11,11
J Moss,2117,1596,12,11
A Taylor,2134,1917,11,11
M Oliver,2086,1796,11,11
M Atkinson,2206,1794,11,10
M Dean,2324,2045,12,11
